"Value","ValueType","Comments"
"A139","TYPE","AgustaWestland AW.139"
"A400","TYPE","Royal Air Force/Airbus Military A400M Atlas C.1"
"AS3B","TYPE","Eurocopter Cougar AS.532 U2"
"B350","TYPE","Hawker Beechcraft King Air Avenger T.1/Royal Navy"
"B412","TYPE","Bell Griffin HAR.2"
"B462","TYPE","BAe 146 CC.3"
"BM7","TYPE","SOCATA TBM 700"
"BN2T","TYPE","Britten-Norman Defender AL.2"
"C130","TYPE","Lockheed C-130H Hercules"
"C17","TYPE","Boeing CC-177 Globemaster III/Royal Canadian Air Force"
"C25A","TYPE","Cessna Citation CJ2+"
"C30J","TYPE","Lockheed C-130J-30 Hercules"
"C510","TYPE","Cessna Citation Mustang"
"C5M","TYPE","Lockheed C-5M Galaxy / United States Air Force"
"EH10","TYPE","EH Industries EH.101 Merlin HM.2"
"E121","TYPE","Embraer 121 Xingu AN"
"EC35","TYPE","Airbus H135 Juno HT.1/Royal Air Force / Training Helicopter"
"EC45","TYPE","Airbus H135 Juno HT.1/Royal Air Force / Training Helicopter"
"E50P","TYPE","mbraer EMB-500 Phenom 100 /JBFeggair ApS"
"F900","TYPE","Swiss Air Force/Dassault Falcon 900EX EASY"
"G115","TYPE","Grob G-115 E Tutor / Ministry of Defence"
"G120","TYPE","Grob G-120TP-A Prefect T.1/Royal Air Force Training Plane"
"G12T","TYPE","Grob G-120TP-A Prefect T.1/Royal Air Force Training Plane"
"GAZL","TYPE","Westland/Aerospatiale Gazelle SA.341 AH.1 / Army Air Core"
"H47","TYPE","Boeing-Vertol Chinook HC.6"
"H64","TYPE","AgustaWestland Apache AH.1"
"HAWK","TYPE","British Aerospace Hawk Royal Air Force Training Plane"
"LJ35","TYPE","Gates C-21A"
"LYNX","TYPE","AgustaWestland Wildcat AH.1"
"PA34","TYPE","Piper PA-34-220T Seneca V"
"TB20","TYPE","Socata TB-20 Trinidad"
"TBM7","TYPE","SOCATA TBM 700/French Air Force"
"TBM9","TYPE","DAHER-SOCATA TBM 930"
"TOR","TYPE","Panavia Tornado GR.4"
"TUCA","TYPE","Short Tucano T.1/Royal Air Force"
"V22","TYPE","Bell/Boeing CV-22B Osprey"
